"# 文本key","文本value"
"string","string"
"id","text"
"f86f0b6a9159d7309453a4867f938501","Northern Huanmos Tower"
"087cd58c35305cbc663b4512610f8b58","Heading North"
"98ab3015749d23a535ef670df1a5bd1c","The Disguise Master shared a completely different tale, but I choose to trust Yan Xiaosheng. I journey northward to the Huanmos Temple."
"1622dc9b6b57a5faf337b87b13fc1200","Unknown"
"e55ddd2db2e76901ab640b9047474517","Head north to the Huanmos Temple"
"7fff1f7ebdb43cf01980ba43b310c31b","Quest"
"698d51a19d8a121ce581499d7b701668","111"
"23919a9ecdb31e7d808716f2d65eb06b","You took down my enemy, and I've got to thank you for it, no doubt!!"
"0bd3a1e12866fd4db04dbe32820e0fa4","Of course. We're family, it's the least I can do!"
"07f1effe8217ac63663cc0f5295aa240","Even so, I really appreciate it. Please take this."
"a3fccde6074b2d61c53cfe00f09c95db","Their attitude has changed, and I received a gift."
"94a5c429334328991826d2f92087293c","I helped {0}{1} settle a score. {0}{1} grew closer to me and gifted me a treasure."
"dd1105f15cf73be8f48e467ebddbb8e1","Bye!"
"007f3352031a811c65c3559a22183632","We're from the same sect, it was no big deal."
"35af698f5324cc2ab53e3c5c9fe52b92","Well, since you've lent a hand, rest assured, I shall not forget!"
"9100a9df3937996496c4b4fa379a36f1","We're good friends, there's no need for such a big fuss."
"f5ab0e4c2bf7ff0a6e134bf79cc96db4","My brother, you've helped me let off some steam today. I won't forget your kindness!"
"ecf7fcb456d48636c9a357ea5628009a","I just did what made sense."
"602a4206b53927505f414065a1f8e81b","I never thought you'd set aside our past conflicts and seek revenge for me. I respect you and am ready to bond, leaving our conflicts behind."
"c32fcd011a0c446265fe3c84a426c5b6","Our bond is unyielding, anyone who dares harm you will face my wrath."
"776550f80c204be0b1e3e81d212edfa9","I understand our encounter drained my luck, but I'll stand by you, no matter what."
"a58e56e006072a2992f38de6b74a2cbc","You are my loyal retainer. Of course, I will watch over you."
"d8539a499f9da9e07dcf34fb9e1ba845","It's a small favor, hardly worth mentioning."
"2f33b6d5204d36e70c126fbdd1ba219f","Young master, please, help me!"
"c3003f68037d2d0d2f0ceb662d21c64f","Ask about the reason"
"886abe9ed897ddde7ae6567d9fbe0d8e","It's none of your business! Leave, or I won't be polite with you!"
"6256f6348e5d2200478318bc49d08cc7","Ask the girl about what happened"
"bd55b899bba71f2c54e8d080a75269c9","This scoundrel has been harassing me, and he even killed my father! Now, he's even forcing me to be with him. I'd rather die!"
"ed15af327706592164eb4993e59b6c8a","Help the girl"
"f399d9e9c9fd84be9ec6fa0a3e0ebaa6","You little rascal, it appears you're testing your luck!"
"10f9ff5915ad633e5f99e51d6a39c086","Encountered a girl named {0}{1} being harassed by a scoundrel, I helped her without hesitation. Her gratitude towards me grew."
"cc6d41127f1db28321e805b15981162c","{0}{1} came to my rescue just when I had almost lost hope. I won't forget his kindness."
"51479b8fa32d88d441c687b28ac1a36c","Both of them now have a different attitude towards you."
"127a4c577dbc0a7c1a3269ead618748a","Enough talk!"
"eb5deca5ad31e19dfe753f011c50871f","I'm afraid I can't help..."
"bdd424d87b16971d535da34891cfcc7d","Consider yourself lucky! Girlie, where do you think you're running to?"
"53c53dd5a9a5c285f3b5ddef10d451f4","Encountered {0}{1}, who asked for my help, but I refused."
"94a5d32f3c44abc352919913016e5b70","While being pursued by enemies, I encountered {0}{1}, but they paid me no heed."
"132aadeea1adbec6fd73a76b9ea72761","..."
"b9a84afdb69bffbdc69432f9cccb4e77","I can tell by the tone of his voice that he's up to no good. I should help the girl."
"184edf107672661e6ad0877601e56f20","Why get into trouble for the sake of a stranger?"
"962fb45d862a741b622877a2ba4927cb","Have you heard? There are bandits nearby and they're up to no good. I hope someone can bring them to justice, otherwise our lives will be miserable."
"b1f8288af0a2cd45e37bb186260c514b","It is our duty as warriors to do so."
"36d5442ad05cc2f7a993592c865a66aa","It has nothing to do with me, leave me alone."
"542137d0f596b714c2554cdc85fa6b88","Okay.. people have their own aspirations, I don't want you."
"e87b137568574805c1bc32304ad7118a","{0}, is there something you need?"
"58162032938f1dacda05a0b8c81f53f7","Your presence is inspiring, leaving me no choice but to admire."
"0392d6b33e143b66f73c35eb1a908279","Your presence is inspiring, leaving me no choice but to admire."
"31368cb092d919fecd01c8c21235db14","......"
"786e5d6a0a32f21649a53503d6a37515","......"
"a62ae4cfd658c6e65778f0d06a03cde6","Nothing, sorry to bother you..."
"0eec7b4ffb6701ffe63b497bb7d3a3ef","Inquire about sect info"
"1a41a3528c525f181bec55086624fa1a","<TDName>「Beast Sect」</> Masters of multi-beast stances, nature communication, and taming animals. They harness creature power with deep inner strength. \\n<TDName>「Icy Sect」</> Experts in freeze martial skills, icing foes with a touch. Strikes inflict bone-chilling cold, immobilizing and disarming opponents. \\n<TDName>「Drunk Sect」</> Masters of Art of Drunkness. A single sip unleashes the Drunk Fist, with moves that are deceptive and unpredictable, catching foes off guard. \\n<TDName>「Concealed Weapon Sect」</> Masters of concealed weaponry with unmatched speed and versatility. They unleash storms of hidden weapons, leaving foes defenseless and bloodied. \\n<TDName>「Misfortune Sect」</> Practitioners of dark curses, leading foes into misfortune's vortex. Victims suffer mental breakdown and powerlessness. \\n<TDName>「Flame Sect」</> Cultivators of fiery martial arts with scorching energy. Strikes inflict excruciating burns, leaving victims charred and in agony. \\n<TDName>「Poison Gas Sect」</> Proficient in deadly spells and slow-acting poisons. They afflict foes with insidious poisons, causing gradual debilitation. \\n<TDName>「Toxin Sect」</> Specializes in creature manipulation. They control minds through toxin worm, rendering victims helpless and devoid of self. \\n"
"3725d73dfaf45912b858800a1ad468af","Beast Sect"
"9402798306f7433e2d1943b12af7e21a","This sect is located in the <TDName>「Mount Millibeast」</>, a place surrounded by towering peaks and abundant wildlife."
"c6a53cff9b65a49e1bebcf6474eb8c4e","I choose this sect."
"9d3b5a702f698feb5c30db0569edaebb","I'd like to explore other options."
"08d6585bf533e892b58ca9eda0b8cff3","Icy Sect"
"4836cb08dea2ad2c838514c8d4ea3bee","This sect is located in <TDName>「Mount Beimang」</>, where perpetual snow and ice cover the peaks year-round."
"011fddd37cca8c8ddde73e4b01036efd","Drunk Sect"
"f76b648a27a5e6269e899aff0c45cbfa","This sect is located at <TDName>「Drunken Immortal Lake」</>, a breathtaking paradise renowned for its scenic beauty and the irresistible charm of wine."
"6c173f79e64df2314871f56ae749f863","Concealed Weapon Sect"
"da36eec1f250522d7d1fa05a5a7feccf","This sect is located at <TDName>「Bamboo Pond」</>, an oasis in the vast desert, making it an ideal place to practice concealed weaponry techniques."
"cc79f9bb5a477f77c1e68c950fb8bf74","Misfortune Sect"
"7d60d7de5eb5c299bb8a707eb0acceec","The sect is located at <TDName>「Nine Wolves Burrow」</>, a labyrinthine and desolate wasteland, making it perfect for practicing Misfortune arts."
"dc9a5a966f578975ea061704e83f6a5b","Flame Sect"
"20fa2b52246671ec0c80a649c654eadb","The sect is at <TDName>「Rubycliff Ravine」</>, with scorching, lava-filled terrain perfect for fiery martial arts practice."
"36a4a16d22b8c51a550f2eae317a80bf","Poison Gas Sect"
"05148366f287d950e27e3c69f89347e8","This sect is located at <TDName>「Shadowy Gorge」</>, a swamp teeming with venomous creatures and miasma, perfect for mastering deadly poisons."
"ae9c14f71b2d5acef7ddfb954f35902c","Toxin Sect"
"1c75654ad0220cc126a8c360315444a7","This sect is located at <TDName>「Dragon Ridge Valley」</>, a marshy terrain where toxin arts thrive with various creatures."
"5f411223ca5a01a5adf20fe735a433d0","Back"
"965406c5acea596381f752a79f902bcc","I currently have no information about other sects. Please come back later."
"375ec8858f2e8ec21295958624199520","Alright"
"8ed984386ed172cbc082b9d57d5b2a70","Attempt to resolve grievances"
"ffe5130ee258de6e75ceba8d3af72147","It's wise to sort this out rather than hold grudges."
"97f51950e08de32ff752b606b0e995a4","I'm not the type to hold petty grievances. Let's move on."
"072b661e3ac3e467993e768d2d626cf6","{0}, we hold deep-seated enmity. Don't think for a moment you can easily resolve it!!"
"66c49424200c7ae9b8049519bd2a4da8","You make a point. But thinking it can be resolved so easily underestimates me."
"b6113aabe59dcddf0db86d1f6de77a3f","Mediate through your connections"
"f1ccf648a3ae5572972ef17efe655776","We share a common friend, and the other party's attitude has softened."
"1dfd6ab804dacc510074d9669e12de91","We share a common enemy, and the other party's attitude has softened."
"0d02f6815365b0a903e4dd601f0adf9c","We don't have any mutual acquaintances, stop pretending we're familiar. How ridiculous!"
